SKU;Titel;Handle;URL;Merk;Soort;Prijs incl;Van-prijs;Eenheid;Voorraad;Collecties;Afbeelding
426349;Champ - Sigarettenbox - Bling Bling;champ-sigarettenbox-bling-bling-display-12st;https://rokersbenodigdheden.com/products/champ-sigarettenbox-bling-bling-display-12st;Champ;Kokers & Etuis;4,95;;1 stuk;10;all|kokers-etuis|merk-champ;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426349-8.jpg?v=1778073469
426623;Champ - Sigarettenbox - Brushed;champ-sigarettenbox-brushed-display-12-st;https://rokersbenodigdheden.com/products/champ-sigarettenbox-brushed-display-12-st;Champ;Kokers & Etuis;3,50;;1 stuk;10;all|kokers-etuis|merk-champ;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426623-5.jpg?v=1778073605
426027;Champ - Sigarettenbox - Brushed Metal;champ-sigarettenbox-brushed-metal-display-12-stuks;https://rokersbenodigdheden.com/products/champ-sigarettenbox-brushed-metal-display-12-stuks;Champ;Kokers & Etuis;4,50;;1 stuk;10;all|kokers-etuis|merk-champ;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426027-1.jpg?v=1778073385
426019;Champ - Sigarettenbox - Rasta Life;champ-sigarettenbox-rasta-life-display-12-stuks;https://rokersbenodigdheden.com/products/champ-sigarettenbox-rasta-life-display-12-stuks;Champ;Kokers & Etuis;3,95;;1 stuk;10;all|kokers-etuis|merk-champ;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426019-9.jpg?v=1778073380
426008;Champ - Sigarettenbox - Sofa;champ-sigarettenbox-sofa-display-12-stuks;https://rokersbenodigdheden.com/products/champ-sigarettenbox-sofa-display-12-stuks;Champ;Kokers & Etuis;4,95;;1 stuk;10;all|kokers-etuis|merk-champ;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426008-0.jpg?v=1778073371
426358;Champ - Sigarettenbox - Stormtrooper;champ-sigarettenbox-stormtrooper-display-12-stuks;https://rokersbenodigdheden.com/products/champ-sigarettenbox-stormtrooper-display-12-stuks;Champ;Kokers & Etuis;4,95;;1 stuk;10;all|kokers-etuis|merk-champ|stormaanstekers;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426358-3.jpg?v=1778073464
426004;Champ - Sigarettenkoker - AC/DC;champ-sigarettenkoker-ac-dc-display-12-stuks;https://rokersbenodigdheden.com/products/champ-sigarettenkoker-ac-dc-display-12-stuks;Champ;Kokers & Etuis;10,50;;1 stuk;10;all|kokers-etuis|merk-champ|sigarettenkokers;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426004.jpg?v=1778073367
426025;Champ - Sigarettenkoker - Colored PU;champ-sigarettenkoker-colored-pu-display-12-stuks;https://rokersbenodigdheden.com/products/champ-sigarettenkoker-colored-pu-display-12-stuks;Champ;Kokers & Etuis;5,50;;1 stuk;10;all|kokers-etuis|merk-champ|sigarettenkokers;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426025-1.jpg?v=1778073384
426026;Champ - Sigarettenkoker - Denim Style;champ-sigarettenkoker-denim-style-display-12-stuks;https://rokersbenodigdheden.com/products/champ-sigarettenkoker-denim-style-display-12-stuks;Champ;Kokers & Etuis;5,95;;1 stuk;10;all|kokers-etuis|merk-champ|sigarettenkokers;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426026-8.jpg?v=1778073385
426009;Champ - Sigarettenkoker - Wallet;champ-sigarettenkoker-wallet-display-12-stuks;https://rokersbenodigdheden.com/products/champ-sigarettenkoker-wallet-display-12-stuks;Champ;Kokers & Etuis;10,95;;1 stuk;10;all|kokers-etuis|merk-champ|sigarettenkokers;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426009-7.jpg?v=1778073372
